City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Molina,CL,-35.1167,-71.2833,64.13,100,100,17.27,overcast clouds
109,Batticaloa,LK,7.7102,81.6924,80.8,81,26,4.83,scattered clouds
110,Lasa,IT,46.6166,10.7002,47.28,94,93,2.42,overcast clouds
111,Aksarka,RU,66.5606,67.7975,1.78,100,61,5.03,broken clouds
112,Alofi,NU,-19.0595,-169.9187,75.09,100,100,3.44,light intensity shower rain
113,Pitea,SE,65.3172,21.4794,33.89,91,100,4.65,overcast clouds
114,Namatanai,PG,-3.6667,152.4333,79.59,71,82,3.36,broken clouds
115,Erenhot,CN,43.6475,111.9767,60.12,21,64,20.6,broken clouds
116,Kununurra,AU,-15.7667,128.7333,67.98,94,85,0.0,overcast clouds
117,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,66,75,20.71,light rain
118,Zhigalovo,RU,54.8097,105.1578,18.21,95,74,2.42,broken clouds
119,Antalaha,MG,-14.9003,50.2788,73.58,87,31,5.59,scattered clouds
120,Kavieng,PG,-2.5744,150.7967,82.18,74,100,7.81,overcast clouds
121,Guerrero Negro,MX,27.9769,-114.0611,75.56,38,0,14.09,clear sky
122,Madera,US,37.1666,-119.8343,76.24,40,70,1.01,broken clouds
123,Hasaki,JP,35.7333,140.8333,54.28,87,37,3.11,scattered clouds
124,Lakes Entrance,AU,-37.8811,147.981,50.16,92,87,3.67,overcast clouds
125,Howell,US,42.6073,-83.9294,82.54,60,100,11.5,overcast clouds
126,Bambous Virieux,MU,-20.3428,57.7575,75.45,73,40,16.11,scattered clouds
127,Raucesti,RO,47.25,26.4167,61.75,78,89,6.44,overcast clouds
128,Oriximina,BR,-1.7656,-55.8661,82.15,78,54,5.17,broken clouds
129,Torbay,CA,47.6666,-52.7314,37.27,96,100,11.5,fog
130,Kolokani,ML,13.5728,-8.0339,93.04,10,67,10.8,broken clouds
131,Tasiilaq,GL,65.6145,-37.6368,39.36,70,78,3.31,broken clouds
132,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,80,0,3.44,clear sky
133,Boyolangu,ID,-8.1181,111.8935,75.79,90,100,1.05,overcast clouds
134,Chokurdakh,RU,70.6333,147.9167,-4.05,99,90,3.11,overcast clouds
135,Channel-Port Aux Basques,CA,47.5702,-59.1367,38.95,85,100,20.09,overcast clouds
136,Rio Grande,BR,-32.035,-52.0986,77.11,65,0,16.42,clear sky
137,San Patricio,US,28.017,-97.5169,87.89,55,33,22.59,scattered clouds
138,Chifeng,CN,42.2683,118.9636,51.57,47,4,4.61,clear sky
139,Margate,GB,51.3813,1.3862,48.87,83,9,10.0,clear sky
140,Tiksi,RU,71.6872,128.8694,-4.02,100,100,1.79,overcast clouds
141,Huesca,ES,42.1362,-0.4087,52.48,74,0,11.5,clear sky
142,Hithadhoo,MV,-0.6,73.0833,84.38,72,41,10.25,scattered clouds
143,Nantucket,US,41.2835,-70.0995,48.99,49,100,12.66,overcast clouds
144,Pevek,RU,69.7008,170.3133,7.2,95,96,3.98,overcast clouds
145,Hermanus,ZA,-34.4187,19.2345,58.46,77,84,4.74,light rain
146,Bentiu,SS,9.2333,29.8333,87.64,48,97,8.16,overcast clouds
147,Te Anau,NZ,-45.4167,167.7167,47.84,84,40,1.14,scattered clouds
148,Thompson,CA,55.7435,-97.8558,23.16,42,40,18.41,scattered clouds
149,Moryakovskiy Zaton,RU,56.6956,84.6467,32.88,97,100,3.83,overcast clouds
150,Altamont,US,42.2068,-121.7372,63.39,31,0,3.0,clear sky
151,Puerto Ayora,EC,-0.7393,-90.3518,75.16,77,33,11.07,scattered clouds
152,Butaritari,KI,3.0707,172.7902,81.09,77,100,11.5,overcast clouds
153,Geraldton,AU,-28.7667,114.6,59.41,67,93,8.05,overcast clouds
154,Padang,ID,-0.9492,100.3543,77.63,86,100,3.69,moderate rain
155,Alexandria,EG,31.2156,29.9553,64.98,78,0,9.1,clear sky
156,Flinders,AU,-34.5833,150.8552,61.88,90,99,4.0,light rain
157,Lagoa,PT,39.05,-27.9833,57.9,74,3,20.6,clear sky
158,Cabedelo,BR,-6.9811,-34.8339,81.27,82,43,11.56,scattered clouds
159,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,83.84,56,89,4.21,overcast clouds
160,Okmulgee,US,35.6234,-95.9605,57.06,94,100,8.05,light rain
161,Provideniya,RU,64.3833,-173.3,30.13,66,1,3.02,clear sky
162,Dryden,CA,49.7833,-92.7503,39.49,87,100,8.05,overcast clouds
