City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Kodiak,US,2022-04-22 07:58:56,57.79,-152.4072,37.63,98,100,25.39
101,Bambous Virieux,MU,2022-04-22 08:00:22,-20.3428,57.7575,83.21,72,24,14.88
102,Hobart,AU,2022-04-22 08:00:30,-42.8794,147.3294,57.06,61,75,8.05
103,Ilulissat,GL,2022-04-22 08:00:39,69.2167,-51.1,30.22,86,75,13.8
104,Yar-Sale,RU,2022-04-22 08:00:46,66.8333,70.8333,9.03,89,100,15.46
105,Launceston,AU,2022-04-22 08:00:47,-41.45,147.1667,56.16,62,28,4.61
106,Lompoc,US,2022-04-22 08:00:05,34.6391,-120.4579,52.79,89,75,8.01
107,Beaverlodge,CA,2022-04-22 08:00:51,55.2166,-119.4361,30.43,85,26,1.86
108,Rincon,US,2022-04-22 08:00:07,32.296,-81.2354,66.85,95,0,2.89
109,Chokurdakh,RU,2022-04-22 08:00:55,70.6333,147.9167,14.97,95,100,5.01
110,Quelimane,MZ,2022-04-22 08:00:59,-17.8786,36.8883,80.49,83,68,5.39
111,Ayia Galini,GR,2022-04-22 08:01:00,35.1,24.6833,73.38,77,0,1.99
112,Norman Wells,CA,2022-04-22 08:01:00,65.282,-126.8329,15.53,98,99,1.25
113,Malanje,AO,2022-04-22 08:01:01,-9.5402,16.341,70.95,75,94,6.22
114,Dikson,RU,2022-04-22 08:01:01,73.5069,80.5464,9.59,91,100,13.02
115,Villa Maria,AR,2022-04-22 08:01:02,-32.4075,-63.2402,58.82,94,100,3.49
116,Jaen,ES,2022-04-22 08:01:02,38.0,-3.5,56.28,64,100,4.16
117,Leningradskiy,RU,2022-04-22 08:01:03,69.3833,178.4167,17.29,95,100,1.32
118,Chaihe,CN,2022-04-22 08:01:03,44.7667,129.7,43.7,59,100,16.02
119,Angoram,PG,2022-04-22 08:01:04,-4.0625,144.0661,79.14,89,100,3.74
120,Garissa,KE,2022-04-22 08:01:04,-0.4536,39.6401,86.88,55,100,8.86
121,Kahului,US,2022-04-22 07:59:15,20.8947,-156.47,75.85,85,100,7.0
122,Phalombe,MW,2022-04-22 08:01:05,-15.8064,35.6507,75.97,68,93,3.98
123,Sterling,US,2022-04-22 08:01:05,39.0062,-77.4286,54.16,88,0,0.0
124,Yulara,AU,2022-04-22 07:59:25,-25.2406,130.9889,80.44,14,0,16.11
125,Narsaq,GL,2022-04-22 07:58:12,60.9167,-46.05,33.4,90,100,1.7
126,College,US,2022-04-22 08:01:06,64.8569,-147.8028,25.47,91,3,5.75
127,Bredasdorp,ZA,2022-04-22 08:01:06,-34.5322,20.0403,62.51,63,100,12.59
128,Genhe,CN,2022-04-22 08:01:07,50.7833,121.5167,43.68,34,100,9.89
129,Mnogovershinnyy,RU,2022-04-22 08:01:07,53.9353,139.9242,26.8,89,100,5.35
130,Yaan,NG,2022-04-22 08:01:07,7.3833,8.5667,83.84,65,72,6.85
131,Mtimbira,TZ,2022-04-22 08:01:08,-8.7833,36.35,82.71,69,32,2.89
132,Saint-Pierre,RE,2022-04-22 08:01:08,-21.3393,55.4781,83.88,71,75,25.32
133,Kavaratti,IN,2022-04-22 07:58:30,10.5669,72.642,85.53,65,50,1.9
134,Berbera,SO,2022-04-22 08:01:09,10.4396,45.0143,88.61,60,97,11.43
135,Baykalovo,RU,2022-04-22 08:01:09,57.3981,63.7684,40.53,41,100,13.27
136,Mahebourg,MU,2022-04-22 08:01:10,-20.4081,57.7,83.25,69,75,14.97
137,Syracuse,IT,2022-04-22 07:59:32,37.0881,15.2792,63.77,52,4,12.73
138,Itaituba,BR,2022-04-22 08:02:10,-4.2761,-55.9836,72.16,100,100,1.57
139,Krasnoselkup,RU,2022-04-22 08:02:11,65.7,82.4667,19.06,78,88,13.69
140,Carnarvon,AU,2022-04-22 07:58:15,-24.8667,113.6333,82.47,51,0,13.8
141,Saint-Joseph,RE,2022-04-22 08:02:11,-21.3667,55.6167,82.78,80,35,12.75
142,Ozinki,RU,2022-04-22 08:02:12,51.1786,49.6769,48.79,71,100,9.19
143,Alugan,PH,2022-04-22 08:02:12,12.2188,125.4808,82.33,81,95,9.33
144,Bataipora,BR,2022-04-22 08:02:13,-22.2953,-53.2711,68.18,65,68,4.07
145,Gorontalo,ID,2022-04-22 08:02:13,0.5412,123.0595,83.14,87,99,2.13
146,Pisco,PE,2022-04-22 08:02:14,-13.7,-76.2167,63.01,92,99,4.61
147,Najran,SA,2022-04-22 08:02:14,17.4924,44.1277,89.06,11,100,7.34
148,Kalaleh,IR,2022-04-22 08:02:14,37.3807,55.4916,69.78,60,57,11.16
149,Souillac,MU,2022-04-22 08:02:15,-20.5167,57.5167,82.78,69,75,14.97
150,Salalah,OM,2022-04-22 08:02:15,17.0151,54.0924,88.0,56,15,15.84
151,Fairbanks,US,2022-04-22 08:02:15,64.8378,-147.7164,25.48,91,2,5.68
152,Faanui,PF,2022-04-22 07:59:12,-16.4833,-151.75,79.21,80,100,15.05
153,Saskylakh,RU,2022-04-22 08:02:16,71.9167,114.0833,15.37,90,100,9.44
154,Longyearbyen,SJ,2022-04-22 08:01:53,78.2186,15.6401,28.24,80,100,18.41
155,Grindavik,IS,2022-04-22 08:02:17,63.8424,-22.4338,45.07,87,75,16.11
156,Broken Hill,AU,2022-04-22 08:02:17,-31.95,141.4333,63.73,42,2,12.44
157,Kenai,US,2022-04-22 08:02:00,60.5544,-151.2583,40.08,63,100,6.93
158,Maniitsoq,GL,2022-04-22 08:02:17,65.4167,-52.9,25.39,95,100,6.62
159,Vestmannaeyjar,IS,2022-04-22 08:02:18,63.4427,-20.2734,45.59,87,75,25.32
160,Changji,CN,2022-04-22 08:02:18,44.0167,87.3167,75.99,15,0,6.71
