City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
320,Ipira,BR,76.68,clear sky,-12.1583,-39.7372,Hotel Phyccus
321,Raisinghnagar,IN,84.81,clear sky,29.5358,73.4492,N.D. Dhingra's Sterling Resorts
322,Phonhong,LA,77.2,clear sky,18.5007,102.4166,Manyvong Guest House
327,Samarai,PG,82.81,overcast clouds,-10.6167,150.6667,Nuli Sapi
329,Temerloh,MY,74.05,overcast clouds,3.4483,102.4176,U Design Hotel Temerloh
331,Kisangani,CD,70.0,overcast clouds,0.5167,25.2,Grand Ramela Hotel
332,Los Llanos De Aridane,ES,64.15,scattered clouds,28.6585,-17.9182,Valle Aridane
335,Vila Do Maio,CV,79.59,clear sky,15.1333,-23.2167,Hotel Marilu
338,La Romana,DO,84.56,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
343,Torbat-E Jam,IR,67.05,broken clouds,35.244,60.6225,White building
345,Kiunga,PG,72.79,light rain,-6.1219,141.2906,Airport Lodge Kiunga
346,Hamilton,US,83.16,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
349,Arona,ES,61.83,broken clouds,28.0996,-16.681,Paradise Court
350,Reconquista,AR,79.97,clear sky,-29.15,-59.65,Grand Hotel
351,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
356,Prabumulih,ID,72.95,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
357,Pacific Grove,US,72.39,clear sky,36.6177,-121.9166,Lovers Point Inn
359,Namibe,AO,71.31,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
360,Mandera,KE,87.98,broken clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
361,Auki,SB,79.43,overcast clouds,-8.7676,160.7034,Auki Motel
362,Ghatsila,IN,85.68,clear sky,22.6,86.4833,Suhasita Resort
363,Bujaru,BR,77.41,overcast clouds,-1.515,-48.0447,Hotel & Restaurante Beira Rio
364,Carnarvon,AU,66.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
365,San Luis,AR,78.48,clear sky,-33.295,-66.3356,Huarpes Hotel
366,Coruripe,BR,78.57,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
367,Ishigaki,JP,78.93,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
369,Riberalta,BO,86.2,broken clouds,-10.9833,-66.1,Hotel Colonial
371,Umaria,IN,82.38,broken clouds,23.5333,80.8333,Krishna Palace
372,Lompoc,US,87.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
373,Acapulco,MX,87.62,smoke,16.8634,-99.8901,HS Hotsson Smart Acapulco
376,Mwanza,TZ,69.85,broken clouds,-2.5167,32.9,Gold Crest Hotel
377,Hermiston,US,71.82,clear sky,45.8404,-119.2895,Oxford Suites Hermiston
378,Pisco,PE,71.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
379,Biak,ID,76.6,scattered clouds,-0.9131,122.8766,Penginapan Kim
380,Itoman,JP,75.97,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
384,Mahajanga,MG,78.44,overcast clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
385,Chaman,PK,69.89,broken clouds,30.9236,66.4512,Niamat parda Center chaman
387,Utete,TZ,72.91,moderate rain,-7.986,38.758,River View Lodge
389,Guanare,VE,88.39,overcast clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
399,Yangjiang,CN,75.85,scattered clouds,21.85,111.9667,HUALUXE Yangjiang City Center
400,Nizwa,OM,83.41,scattered clouds,22.9333,57.5333,Orient Apartments
402,Hurghada,EG,76.98,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
407,Victoria,HK,81.32,few clouds,22.2855,114.1577,Mini Hotel Central
408,Ondjiva,AO,67.33,clear sky,-17.0667,15.7333,COMBUESA
410,Gwanda,ZW,67.35,scattered clouds,-20.9333,29.0,Mafax Homeways
411,Balad,IQ,65.46,few clouds,34.0164,44.1453,رضاوي زنوبة
412,Faya,SA,63.12,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
413,Kumbo,CM,62.38,light rain,6.2,10.6667,Western Inn Resort
